"totalHistoryAmount","TECNOLOGIA-occurances","TECNOLOGIA-percentage","ESPORTE-occurances","ESPORTE-percentage","FITNESS-occurances","FITNESS-percentage","YOUTUBE-occurances","YOUTUBE-percentage","POP/ARTE-occurances","POP/ARTE-percentage","FACEBOOK-occurances","FACEBOOK-percentage","INSTAGRAM-occurances","INSTAGRAM-percentage","NOTÍCIAS-occurances","NOTÍCIAS-percentage","SÉRIES E FILMES-occurances","SÉRIES E FILMES-percentage","JOGOS-occurances","JOGOS-percentage","POLÍTICA-occurances","POLÍTICA-percentage","CARROS-occurances","CARROS-percentage","CIÊNCIA-occurances","CIÊNCIA-percentage","MODA-occurances","MODA-percentage","TV E CELEBRIDADES-occurances","TV E CELEBRIDADES-percentage","ESOTERISMO-occurances","ESOTERISMO-percentage","ECONOMIA-occurances","ECONOMIA-percentage","EDUCAÇÃO-occurances","EDUCAÇÃO-percentage","LINKEDIN-occurances","LINKEDIN-percentage","NATUREZA-occurances","NATUREZA-percentage","ALIMENTAÇÃO E SAÚDE-occurances","ALIMENTAÇÃO E SAÚDE-percentage","DECORAÇÃO-occurances","DECORAÇÃO-percentage","HUMOR-occurances","HUMOR-percentage","INTERNACIONAL-occurances","INTERNACIONAL-percentage","SEXO-occurances","SEXO-percentage","TWITTER-occurances","TWITTER-percentage","VIAGENS-occurances","VIAGENS-percentage"
905,429,47.40331491712707,47,5.193370165745856,37,4.088397790055248,31,3.425414364640884,26,2.8729281767955803,18,1.988950276243094,18,1.988950276243094,13,1.4364640883977902,13,1.4364640883977902,10,1.1049723756906078,5,0.5524861878453039,4,0.4419889502762431,4,0.4419889502762431,4,0.4419889502762431,4,0.4419889502762431,2,0.22099447513812154,1,0.11049723756906077,1,0.11049723756906077,1,0.11049723756906077,1,0.11049723756906077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5086,1540,30.279197797876524,51,1.0027526543452614,6,0.11797090051120723,602,11.836413684624459,83,1.6319307904050335,118,2.3200943767204087,6,0.11797090051120723,83,1.6319307904050335,387,7.609123082972867,6,0.11797090051120723,1,0.019661816751867872,58,1.1403853716083365,6,0.11797090051120723,18,0.3539127015336217,43,0.8454581203303185,7,0.1376327172630751,1,0.019661816751867872,5,0.09830908375933936,6,0.11797090051120723,3,0.058985450255603616,42,0.8257963035784507,396,7.786079433739678,5,0.09830908375933936,13,0.25560361777428237,23,0.4522217852929611,1,0.019661816751867872,10,0.19661816751867872
4962,1498,30.1894397420395,38,0.7658202337767029,6,0.12091898428053205,602,12.132204756146715,83,1.6727126158806933,118,2.3780733575171302,6,0.12091898428053205,81,1.6324062877871826,387,7.799274486094316,6,0.12091898428053205,1,0.02015316404675534,58,1.1688835147118097,6,0.12091898428053205,18,0.36275695284159615,43,0.8665860540104796,7,0.14107214832728737,1,0.02015316404675534,5,0.1007658202337767,6,0.12091898428053205,3,0.060459492140266025,42,0.8464328899637243,357,7.194679564691657,5,0.1007658202337767,13,0.2619911326078194,23,0.4635227730753728,1,0.02015316404675534,10,0.2015316404675534
4960,1502,30.282258064516128,38,0.7661290322580645,6,0.12096774193548387,602,12.137096774193548,80,1.6129032258064515,118,2.379032258064516,6,0.12096774193548387,81,1.6330645161290323,387,7.80241935483871,6,0.12096774193548387,1,0.020161290322580645,58,1.1693548387096775,6,0.12096774193548387,18,0.3629032258064516,43,0.8669354838709677,7,0.14112903225806453,1,0.020161290322580645,5,0.10080645161290322,6,0.12096774193548387,3,0.06048387096774194,42,0.8467741935483871,356,7.17741935483871,5,0.10080645161290322,13,0.2620967741935484,23,0.4637096774193548,1,0.020161290322580645,10,0.20161290322580644
4981,1510,30.315197751455532,37,0.7428227263601687,6,0.12045773940975708,602,12.08592652077896,81,1.6261794820317206,118,2.369002208391889,6,0.12045773940975708,81,1.6261794820317206,387,7.769524191929332,6,0.12045773940975708,1,0.02007628990162618,58,1.1644248142943183,6,0.12045773940975708,18,0.3613732182292712,43,0.8632804657699257,7,0.14053402931138326,1,0.02007628990162618,5,0.1003814495081309,6,0.12045773940975708,3,0.06022886970487854,42,0.8432041758682995,356,7.14715920497892,5,0.1003814495081309,13,0.2609917687211403,23,0.46175466773740215,1,0.02007628990162618,10,0.2007628990162618
4988,1513,30.33279871692061,37,0.7417802726543705,6,0.12028869286287089,602,12.068965517241379,81,1.623897353648757,118,2.3656776263031274,6,0.12028869286287089,81,1.623897353648757,387,7.758620689655173,7,0.14033680834001605,1,0.020048115477145148,58,1.1627906976744187,6,0.12028869286287089,18,0.3608660785886127,43,0.8620689655172413,7,0.14033680834001605,1,0.020048115477145148,5,0.10024057738572574,6,0.12028869286287089,3,0.060144346431435444,42,0.8420208500400962,356,7.137129109863673,5,0.10024057738572574,13,0.2606255012028869,23,0.4611066559743384,1,0.020048115477145148,10,0.20048115477145148
1289,430,33.359193173002325,68,5.275407292474787,0,0,15,1.1636927851047323,13,1.008533747090768,62,4.809930178432894,3,0.23273855702094648,253,19.627618308766486,12,0.9309542280837859,14,1.0861132660977502,20,1.5515903801396431,1,0.07757951900698215,2,0.1551590380139643,16,1.2412723041117144,4,0.3103180760279286,3,0.23273855702094648,0,0,16,1.2412723041117144,8,0.6206361520558572,0,0,1,0.07757951900698215,4,0.3103180760279286,0,0,0,0,2,0.1551590380139643,10,0.7757951900698216,4,0.3103180760279286
5009,1514,30.225593930924337,37,0.7386703932920743,6,0.11978438810141745,602,12.018366939508883,81,1.6170892393691356,118,2.35575963266121,6,0.11978438810141745,81,1.6170892393691356,387,7.726093032541425,7,0.13974845278498702,1,0.019964064683569576,58,1.1579157516470353,6,0.11978438810141745,18,0.35935316430425235,43,0.8584547813934917,7,0.13974845278498702,1,0.019964064683569576,5,0.09982032341784787,6,0.11978438810141745,3,0.059892194050708725,42,0.8384907167099221,358,7.1471351567179076,5,0.09982032341784787,13,0.2595328408864045,23,0.4591734877221002,1,0.019964064683569576,10,0.19964064683569574
781,228,29.193341869398207,28,3.585147247119078,0,0,120,15.364916773367478,1,0.12804097311139565,13,1.6645326504481435,0,0,8,1.0243277848911652,5,0.6402048655569782,15,1.9206145966709347,1,0.12804097311139565,1,0.12804097311139565,2,0.2560819462227913,2,0.2560819462227913,3,0.38412291933418696,10,1.2804097311139564,2,0.2560819462227913,52,6.658130601792574,0,0,0,0,0,0,1,0.12804097311139565,0,0,0,0,0,0,0,0,1,0.12804097311139565
726,319,43.93939393939394,47,6.473829201101928,1,0.13774104683195593,27,3.71900826446281,6,0.8264462809917356,1,0.13774104683195593,4,0.5509641873278237,20,2.7548209366391183,3,0.4132231404958678,5,0.6887052341597796,14,1.9283746556473829,1,0.13774104683195593,2,0.27548209366391185,4,0.5509641873278237,5,0.6887052341597796,1,0.13774104683195593,1,0.13774104683195593,2,0.27548209366391185,0,0,7,0.9641873278236914,1,0.13774104683195593,0,0,0,0,0,0,0,0,0,0,1,0.13774104683195593
